tbl,fact_status,confidence,n
sites,CLAIMED,high,2
sites,CLAIMED,low,5
sites,GAP,low,1
sites,REPORTED,high,4
sites,REPORTED,medium,28
sites,VERIFIED,high,47
sites,VERIFIED,medium,6
applications,REPORTED,high,1
applications,REPORTED,medium,4
applications,VERIFIED,high,49
power_profile,REPORTED,high,3
power_profile,REPORTED,medium,2
power_profile,VERIFIED,high,14
water_profile,REPORTED,high,2
water_profile,VERIFIED,high,1
energy_agreements,CLAIMED,medium,1
renewable_claims,CLAIMED,high,4
renewable_claims,CLAIMED,medium,2
renewable_claims,REPORTED,medium,2
renewable_claims,VERIFIED,high,3
financial_flows,REPORTED,medium,2
financial_flows,VERIFIED,high,8
incentives,GAP,low,1
incentives,REPORTED,high,1
incentives,REPORTED,medium,1
incentives,VERIFIED,high,6
community_events,CLAIMED,low,1
community_events,REPORTED,high,10
community_events,REPORTED,low,2
community_events,REPORTED,medium,1
community_events,VERIFIED,high,7
regulatory_events,REPORTED,high,1
regulatory_events,REPORTED,medium,4
regulatory_events,VERIFIED,high,19
metrics,CLAIMED,low,3
metrics,CLAIMED,medium,7
metrics,REPORTED,high,9
metrics,REPORTED,low,5
metrics,REPORTED,medium,31
metrics,VERIFIED,high,268
metrics,VERIFIED,low,1
metrics,VERIFIED,medium,1
